Folder,Title1,Author1,Edition1,Section1,Title2,Author2,Edition2,Section2,Title3,Author3,Edition3,Section3,Confident
proof-of-concept,,,,,,,,,,,,,
Webwork,,,,,,,,,,,,,
FA,,,,,,,,,,,,,
KM,,,,,,,,,,,,,
CH15 Impulse and Momentum,,,,,,,,,,,,,
H14 15.2 Principle of Linear Momentum(System),Engineering Mechanics,Hibbeler,14,15.2,Vector Mechanics For Engineers,Beer and Johnston,10,12.3,Engineering Mechanics,Meriam and Kraig,9,3.9,
H14 15.3 Conservation of Linear Momentum,Engineering Mechanics,Hibbeler,14,15.3,Vector Mechanics For Engineers,Beer and Johnston,10,12.3,Engineering Mechanics,Meriam and Kraig,9,3.9,
H14 15.4 Impact,Engineering Mechanics,Hibbeler,14,15.4,Vector Mechanics For Engineers,Beer and Johnston,10,13.12,Engineering Mechanics,Meriam and Kraig,9,3.9,
H14 15.7 Principle of Angular Impulse and Momentum,Engineering Mechanics,Hibbeler,14,15.7,Vector Mechanics For Engineers,Beer and Johnston,10,12.70,Engineering Mechanics,Meriam and Kraig,9,3.10,
H14 15.9 Propulsion with Variable Mass,Engineering Mechanics,Hibbeler,14,15.9,Vector Mechanics For Engineers,Beer and Johnston,10,14.12,Engineering Mechanics,Meriam and Kraig,9,4.7,
H14 13.1-2 Newtons LawEquation of Motion,Engineering Mechanics,Hibbeler,14,13.2,Vector Mechanics For Engineers,Beer and Johnston,10,12.2,Engineering Mechanics,Meriam and Kraig,9,4.2,
H14 13.3-4 Multidimensional Motion,Engineering Mechanics,Hibbeler,14,13.4,Vector Mechanics For Engineers,Beer and Johnston,10,12.5,Engineering Mechanics,Meriam and Kraig,9,3.5,
H14 13.5 EoM NormalTangential Components,Engineering Mechanics,Hibbeler,14,13.5,Vector Mechanics For Engineers,Beer and Johnston,10,12.8,Engineering Mechanics,Meriam and Kraig,9,2.5,N
H14 13.6 EoM Cylindrical Components,Engineering Mechanics,Hibbeler,14,13.6,Vector Mechanics For Engineers,Beer and Johnston,10,12.8,Engineering Mechanics,Meriam and Kraig,9,2.6,N
H14 13.7 Central Force Motion,Engineering Mechanics,Hibbeler,14,13.7,Vector Mechanics For Engineers,Beer and Johnston,10,12.11,Engineering Mechanics,Meriam and Kraig,9,3.13,
H14 12.10 Relative Motion,Engineering Mechanics,Hibbeler,14,12.10,Vector Mechanics For Engineers,Beer and Johnston,10,11.12,Engineering Mechanics,Meriam and Kraig,9,3.14,
H14 12.2 Rectilinear Continuous Motion,Engineering Mechanics,Hibbeler,14,12.2,Vector Mechanics For Engineers,Beer and Johnston,10,11.4,Engineering Mechanics,Meriam and Kraig,9,3.4,
H14 12.3 Rectilinear Erratic Motion,Engineering Mechanics,Hibbeler,14,12.3,Vector Mechanics For Engineers,Beer and Johnston,10,11.5,Engineering Mechanics,Meriam and Kraig,9,3.4,
H14 12.4-6 Curvilinear Motion,Engineering Mechanics,Hibbeler,14,12.6,Vector Mechanics For Engineers,Beer and Johnston,10,11.9,Engineering Mechanics,Meriam and Kraig,9,3.5,
H14 12.7 Normal and Tangential Components,Engineering Mechanics,Hibbeler,14,12.7,Vector Mechanics For Engineers,Beer and Johnston,10,11.13,Engineering Mechanics,Meriam and Kraig,9,2.5,N
H14 12.8 Cylindrical Components,Engineering Mechanics,Hibbeler,14,12.8,Vector Mechanics For Engineers,Beer and Johnston,10,11.14,Engineering Mechanics,Meriam and Kraig,9,2.6,N
H14 12.9 Dependent Motion,Engineering Mechanics,Hibbeler,14,12.9,Vector Mechanics For Engineers,Beer and Johnston,10,11.12,Engineering Mechanics,Meriam and Kraig,9,2.9,N
Mammoth,,,,,,,,,,,,,
H14 14.1 Work of Force,Engineering Mechanics,Hibbeler,14,14.1,Vector Mechanics For Engineers,Beer and Johnston,10,13.2,Engineering Mechanics,Meriam and Kraig,9,4.3,
H14 14.2-3 Principle of WE,Engineering Mechanics,Hibbeler,14,14.3,Vector Mechanics For Engineers,Beer and Johnston,10,13.3,Engineering Mechanics,Meriam and Kraig,9,4.3,N
H14 14.4 Power and Efficiency,Engineering Mechanics,Hibbeler,14,14.4,Vector Mechanics For Engineers,Beer and Johnston,10,13.5,Engineering Mechanics,Meriam and Kraig,9,4.3,N
H14 14.5 Conservative Forces,Engineering Mechanics,Hibbeler,14,14.5,Vector Mechanics For Engineers,Beer and Johnston,10,13.7,Engineering Mechanics,Meriam and Kraig,9,4.3,N
H14 14.6 Conservation of Energy,Engineering Mechanics,Hibbeler,14,14.6,Vector Mechanics For Engineers,Beer and Johnston,10,13.8,Engineering Mechanics,Meriam and Kraig,9,4.5,
IM Impulse and Momentum,,,,,,,,,,,,,
KIN Rigid Body Kinetics,,,,,,,,,,,,,
KM Kinematics,,,,,,,,,,,,,
VIB Vibrations,,,,,,,,,,,,,
Turned into PDF Solutions,,,,,,,,,,,,,
WE Work and Energy,,,,,,,,,,,,,
19-2_PrincipleOfImpulseAndMomentum,Engineering Mechanics,Hibbeler,14,19.2,Vector Mechanics For Engineers,Beer and Johnston,10,17.8,Engineering Mechanics,Meriam and Kraig,9,6.8,
19-3_ConservationOfMomentum,Engineering Mechanics,Hibbeler,14,19.3,Vector Mechanics For Engineers,Beer and Johnston,10,17.10,Engineering Mechanics,Meriam and Kraig,9,6.8,
19-4_EccentricImpact,Engineering Mechanics,Hibbeler,14,19.4,Vector Mechanics For Engineers,Beer and Johnston,10,17.12,Engineering Mechanics,Meriam and Kraig,9,6.8,
19-x_Impact,Engineering Mechanics,Hibbeler,14,19.4,Vector Mechanics For Engineers,Beer and Johnston,10,17.11,Engineering Mechanics,Meriam and Kraig,9,6.8,
17-3_EquationsOfMotionTranslation,Engineering Mechanics,Hibbeler,14,17.3,Vector Mechanics For Engineers,Beer and Johnston,10,15.2,Engineering Mechanics,Meriam and Kraig,9,6.3,
17-4_EquationsOfMotionRotationAboutFixedAxis,Engineering Mechanics,Hibbeler,14,17.4,Vector Mechanics For Engineers,Beer and Johnston,10,15.4,Engineering Mechanics,Meriam and Kraig,9,6.4,
17-5_GeneralPlaneMotion,Engineering Mechanics,Hibbeler,14,17.5,Vector Mechanics For Engineers,Beer and Johnston,10,15.5,Engineering Mechanics,Meriam and Kraig,9,6.5,
17-x_CenterOfMass,Engineering Mechanics,Hibbeler,14,17.1,Vector Mechanics For Engineers,Beer and Johnston,10,5.10,Engineering Mechanics,Meriam and Kraig,9,5.2,
17-x_Centroids,Engineering Mechanics,Hibbeler,14,17.1,Vector Mechanics For Engineers,Beer and Johnston,10,5.10,Engineering Mechanics,Meriam and Kraig,9,5.3,
17-x_CompositeBodies,Engineering Mechanics,Hibbeler,14,17.1,Vector Mechanics For Engineers,Beer and Johnston,10,5.11,Engineering Mechanics,Meriam and Kraig,9,5.4,
17-x_MultiBody,Engineering Mechanics,Hibbeler,14,17.5,Vector Mechanics For Engineers,Beer and Johnston,10,5.11,Engineering Mechanics,Meriam and Kraig,9,5.4,
17-x_ParallelAxisTheorem,Engineering Mechanics,Hibbeler,14,17.1,Vector Mechanics For Engineers,Beer and Johnston,10,9.2,Engineering Mechanics,Meriam and Kraig,9,7.7,N
17-x_RadiusOfGyration,Engineering Mechanics,Hibbeler,14,17.1,Vector Mechanics For Engineers,Beer and Johnston,10,9.5,Engineering Mechanics,Meriam and Kraig,9,7.7,N
16-1_GearSystem,Engineering Mechanics,Hibbeler,14,16.1,Vector Mechanics For Engineers,Beer and Johnston,10,15.3,Engineering Mechanics,Meriam and Kraig,9,5.2,
