Question Title,Sub-Outcome Code,Module,Topic/ Unit,Learning Outcome,Sub-Outcome,Question Type,Question Format,Origin/Author,Automatic Grading,Randomizable Parameters,Needs Calculator,Keywords,Last Edited By,Last Edit,Sean Reviewed,Shaobo Reviewed,Status,On Mobius,Margin of Error,Sig Fig
STATICS-VCP01.01.01,https://www.notion.so/STATICS-VCP01-01-657b2fb416924f1485d731cc165d1833,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"1. 2D (in/out of page, AB vs BA)                                            ",A,Multiple choice,Zoe,Yes,No,No,"2D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.01.02,https://www.notion.so/STATICS-VCP01-01-657b2fb416924f1485d731cc165d1833,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"1. 2D (in/out of page, AB vs BA)                                            ",A,Multiple choice,Zoe,Yes,No,No,"2D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.01.03,https://www.notion.so/STATICS-VCP01-01-657b2fb416924f1485d731cc165d1833,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"1. 2D (in/out of page, AB vs BA)                                            ",A,Multiple choice,Zoe,Yes,No,No,"2D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.01.04,https://www.notion.so/STATICS-VCP01-01-657b2fb416924f1485d731cc165d1833,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"1. 2D (in/out of page, AB vs BA)                                            ",A,Multiple choice,Zoe,Yes,No,No,"2D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.01,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.02,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
"STATICS-VCP01.02.03 ",https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.04,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.05,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.06,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.07,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.08,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.09,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.10,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.11,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.12,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
" STATICS-VCP01.02.13",https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.14,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.15,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP01.02.16,https://www.notion.so/STATICS-VCP01-02-45fc2bf17a80449f9c88ce5878191ff8,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the graphical representation of the cross product of two vectors,"2. 3D (into the 8 octants, AB vs BA)",A,Multiple choice,Zoe,Yes,No,No,"3D, cross product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.01,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.02,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.03,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.04,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.05,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.06,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.07,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.08,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.01.09,https://www.notion.so/STATICS-VCP03-01-2f31cf202c3049f2a8399cca02b825d3,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,"1. recognize (graphical)                                                          ",A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
